University,Arts & Crafts Store,Bagel Shop,Bakery,Bank,Breakfast Spot,Brewery,Bubble Tea Shop,Concert Hall,Convenience Store,Diner,Gastropub,Gift Shop,Hotel,Mobile Phone Shop,Noodle House,Park,Pharmacy,Pizza Place,Record Shop,Salad Place,Salon / Barbershop,Shipping Store,Smoke Shop,Spa,Sporting Goods Shop,Student Center,Tea Room,Yoga Studio,MUSEUM,BOOKSTORE,COMMON RESTAURANT,NOVEL RESTAURANT,RESTAURANT,GYM,THEATER,STADIUM,VENUE,LIQUOR,PUB,FANCY BAR,STATIONERY,TRAIL,BUS,HISTORIC,SQUARE,SHOPPING,BEAUTY,ART,FANCY_FOOD,JUICE,EASY FOOD,GROCERY,SWEETS,SANDWICH,COFFEE
Rice University,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Smith College,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,2,6,0,0,0,1,1,0,1,0,0,0,0,0,1,3,1,1,0,0,1,1,0,1
Southern Methodist University,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,2,0,0,2,1,0,1,1,0,0,1,1,1,5,0,3,1,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,0,4,4,3
Stanford University,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,5,5,0,0,1,0,0,2,10
Swarthmore College,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,3,1,2,0,1
Tufts University,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,3
University of California - Berkeley,0,0,3,1,1,2,3,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2,2,3,11,7,13,4,5,0,3,0,1,1,0,0,0,0,1,0,0,1,1,0,2,2,3,1,11
University of California - Los Angeles,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,4,3,0,1,3,0,0,2,7
University of California - Santa Barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,4,1
University of Chicago,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,3,3,2,0,2,1,2,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,4,0,1,5,9
University of Florida,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
University of Georgia,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2
University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
University of Miami,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,2,0,0,1,1,0,6,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,4,1,0,1,3
University of Michigan - Ann Arbor,0,1,1,0,1,0,0,0,0,1,0,0,1,0,3,0,0,4,0,1,1,0,2,0,1,0,1,0,3,1,4,2,10,2,6,0,1,0,5,0,0,0,0,0,0,2,1,3,0,0,6,0,2,4,12
University of North Carolina at Chapel Hill,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,0,2,0,0,0,0,0,2,2,1,0,1,0,0,0,3,0,0,2,4
University of Notre Dame,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
University of Pennsylvania,0,1,2,0,0,0,0,0,2,0,0,0,3,3,1,1,0,1,0,2,1,1,0,0,1,1,0,0,1,3,10,1,3,1,2,1,1,0,0,1,0,1,0,0,2,1,0,2,0,0,17,0,3,4,7
University of Richmond,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
University of Rochester,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2
University of Southern California,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,16,1,8,0,4,0,2,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,7,2,1,3,7
University of Texas - Austin,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,2,2,2,0,0,0,0,0,1,0,1,0,1,3,0,0,2,0,0,2,6
University of Virginia,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,5,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,0,0,2,4
University of Wisconsin - Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
Vassar College,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
Virginia Tech,0,1,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,14,2,5,1,2,0,1,0,8,1,1,1,0,0,2,1,0,0,2,1,4,0,2,4,7
Wake Forest University,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Washington University in St. Louis,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Wellesley College,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0
Wesleyan University,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
Yale University,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,3,1,11,1,10,2,3,0,0,1,2,2,0,0,0,0,0,0,1,3,0,1,5,0,4,3,5
